Documento|Fecha|Departamento|Municipio|Dia|Hora|Sitio|Agresor|Victima|Edad|Pais_nacimiento|Clase_empleado|Profesion|Escolaridad|Codigo_DANE
1425809292|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|19:30:00|CALLEJÓN|PASAJERO MOTOCICLETA|A PIE|25|COLOMBIA|EMPLEADO PARTICULAR|ADMINISTRACION  DE EMPRESAS|TECNOLOGO|11001000
1425809293|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|9:00:00|CALLEJÓN|A PIE|PASAJERO TAXI|37|COLOMBIA|DESEMPLEADO|AUXILIARES DE ENFERMERIA|TECNOLOGO|11001000
1425809294|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|14:00:00|VIAS PUBLICAS|A PIE|A PIE|30|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809295|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|21:30:00|VIAS PUBLICAS|A PIE|A PIE|39|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809296|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|5:30:00|VIAS PUBLICAS|A PIE|A PIE|39|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809297|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|8:30:00|VIAS PUBLICAS|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809298|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|16:30:00|ESTABLECIMIENTO DE COMERCIO|A PIE|A PIE|58|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809299|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809300|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|VIAS PUBLICAS|A PIE|A PIE|62|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809301|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|23|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809302|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809303|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809304|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|EDIFICIO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809305|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:00:00|CAJERO AUTOMATICO|A PIE|A PIE|59|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809306|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|1:30:00|CAFETERIAS|A PIE|A PIE|55|COLOMBIA|EMPLEADO PARTICULAR|CONTADURIA PUBLICA|SUPERIOR|11001000
1425809307|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|15:30:00|VIAS PUBLICAS|A PIE|A PIE|61|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809308|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|9:40:00|VIAS PUBLICAS|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809309|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|8:20:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809310|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|14:35:00|VIAS PUBLICAS|A PIE|A PIE|58|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809311|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|0:17:00|VIAS PUBLICAS|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809312|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|8:00:00|VIAS PUBLICAS|A PIE|A PIE|28|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809313|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|7:00:00|BUS TRANSMILENIO|A PIE|A PIE|54|COLOMBIA|AMA DE CASA|ESPECIALIZACION EN RESTAURACION ORAL|SUPERIOR|11001000
1425809314|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|17:00:00|VIAS PUBLICAS|A PIE|A PIE|16|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809315|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|6:00:00|PUENTE PEATONAL|BICICLETA|A PIE|26|COLOMBIA|EMPLEADO PARTICULAR|ADMINISTRACION  DE EMPRESAS|SUPERIOR|11001000
1425809316|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|13:00:00|VIAS PUBLICAS|A PIE|A PIE|27|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809317|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809318|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809319|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|CENTRO COMERCIAL|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809320|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809321|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809322|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|OTRO|A PIE|A PIE|57|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809323|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|0:00:00|ESTABLECIMIENTO DE GIROS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809324|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|15:30:00|VIAS PUBLICAS|A PIE|A PIE|33|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809325|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|14:30:00|VIAS PUBLICAS|A PIE|A PIE|43|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809326|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|11:45:00|VIAS PUBLICAS|A PIE|A PIE|46|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809327|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|11:40:00|VIAS PUBLICAS|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809328|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|8:40:00|VIAS PUBLICAS|A PIE|A PIE|15|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809329|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|18:40:00|VIAS PUBLICAS|A PIE|A PIE|43|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809330|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|11:50:00|VIAS PUBLICAS|A PIE|A PIE|77|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809331|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|9:40:00|VIAS PUBLICAS|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809332|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|20:15:00|VIAS PUBLICAS|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809333|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|22:50:00|VIAS PUBLICAS|A PIE|A PIE|26|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809334|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|11:37:00|VIAS PUBLICAS|A PIE|A PIE|44|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809335|3/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Miércoles|13:57:00|VIAS PUBLICAS|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809336|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|20:00:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809337|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|19:30:00|CENTRO COMERCIAL|A PIE|A PIE|25|COLOMBIA|EMPLEADO PARTICULAR|INGENIERÍA ELECTROMECANICA|SUPERIOR|11001000
1425809338|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|20:30:00|VIAS PUBLICAS|A PIE|A PIE|27|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809339|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|20:30:00|VEHICULO UBER|A PIE|PASAJERO VEHICULO|24|COLOMBIA|EMPLEADO PARTICULAR|DISEÑO GRAFICO|SUPERIOR|11001000
1425809340|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|21:00:00|VIAS PUBLICAS|A PIE|A PIE|63|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809341|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|9:00:00|VIAS PUBLICAS|BICICLETA|BICICLETA|27|COLOMBIA|ESTUDIANTE|DERECHO|SUPERIOR|11001000
1425809342|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|6:00:00|VIAS PUBLICAS|A PIE|A PIE|51|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809343|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|VIAS PUBLICAS|A PIE|A PIE|33|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809344|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|VIAS PUBLICAS|A PIE|A PIE|51|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809345|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809346|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809347|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809348|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:00:00|LUGAR DE TRABAJO|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809349|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|4:30:00|VIAS PUBLICAS|A PIE|A PIE|24|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809350|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|0:30:00|VIAS PUBLICAS|A PIE|A PIE|13|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809351|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|18:40:00|VIAS PUBLICAS|A PIE|A PIE|47|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809352|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|13:15:00|VIAS PUBLICAS|A PIE|A PIE|44|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809353|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|18:10:00|VIAS PUBLICAS|A PIE|A PIE|54|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809354|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|21:40:00|VIAS PUBLICAS|A PIE|A PIE|25|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809355|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|13:55:00|VIAS PUBLICAS|A PIE|A PIE|22|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809356|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|11:03:00|VIAS PUBLICAS|A PIE|A PIE|34|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809357|4/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Jueves|5:32:00|VIAS PUBLICAS|A PIE|A PIE|35|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809358|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|19:00:00|VIAS PUBLICAS|A PIE|A PIE|37|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809359|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|11:00:00|VIAS PUBLICAS|A PIE|A PIE|32|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809360|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|11:30:00|VIAS PUBLICAS|A PIE|A PIE|28|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809361|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|7:00:00|VIAS PUBLICAS|A PIE|A PIE|64|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809362|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|9:00:00|VIAS PUBLICAS|A PIE|A PIE|18|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809363|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|22:00:00|VIAS PUBLICAS|A PIE|A PIE|24|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809364|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|0:00:00|OTRO|A PIE|A PIE|23|COLOMBIA|EMPLEADO PARTICULAR|-|SECUNDARIA|11001000
1425809365|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809366|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|10:20:00|VIAS PUBLICAS|A PIE|A PIE|67|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809367|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|10:15:00|VIAS PUBLICAS|A PIE|A PIE|37|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809368|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|6:15:00|PARADERO DE BUSES|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809369|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|13:27:00|VIAS PUBLICAS|A PIE|A PIE|61|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809370|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|4:56:00|VIAS PUBLICAS|A PIE|A PIE|24|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809371|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|19:13:00|VIAS PUBLICAS|A PIE|A PIE|31|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809372|5/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Viernes|22:46:00|VIAS PUBLICAS|A PIE|A PIE|38|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809373|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|11:00:00|VIAS PUBLICAS|A PIE|A PIE|42|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809374|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|21:00:00|VIAS PUBLICAS|A PIE|A PIE|55|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809375|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|17:30:00|VIAS PUBLICAS|A PIE|A PIE|52|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|PRIMARIA|11001000
1425809376|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|20:15:00|VIAS PUBLICAS|A PIE|A PIE|44|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809377|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|2:40:00|VEHICULO TAXI|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809378|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|0:15:00|VIAS PUBLICAS|A PIE|A PIE|50|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809379|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|22:50:00|VIAS PUBLICAS|A PIE|A PIE|37|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809380|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|10:19:00|VIAS PUBLICAS|A PIE|A PIE|88|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809381|6/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Sábado|18:14:00|ESTABLECIMIENTO DE COMERCIO|A PIE|A PIE|53|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809382|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|10:00:00|VIAS PUBLICAS|A PIE|A PIE|40|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809383|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|11:30:00|VIAS PUBLICAS|A PIE|A PIE|36|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809384|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|16:00:00|VIAS PUBLICAS|A PIE|A PIE|22|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809385|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|0:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809386|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|0:30:00|CAJERO AUTOMATICO|A PIE|A PIE|30|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809387|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|10:20:00|VIAS PUBLICAS|A PIE|A PIE|25|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809388|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|15:40:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809389|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|6:45:00|VIAS PUBLICAS|A PIE|A PIE|41|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809390|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|21:40:00|VIAS PUBLICAS|A PIE|A PIE|38|VENEZUELA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809391|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|15:45:00|VIAS PUBLICAS|A PIE|A PIE|35|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809392|7/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Domingo|16:18:00|TRANSPORTE PUBLICO URBANO|A PIE|A PIE|58|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809393|8/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|10:00:00|VIAS PUBLICAS|A PIE|A PIE|42|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809394|8/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|8:00:00|OTRO|A PIE|A PIE|29|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809395|8/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|21:00:00|VIAS PUBLICAS|A PIE|A PIE|51|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
1425809396|8/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|21:00:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|TECNICO|11001000
